id,completion_time,execution_time,waiting_time
0,58,58,0
1,38,38,0
2,39,39,0
3,20,20,0
4,88,76,12
5,40,14,26
6,225,56,169
7,199,87,112
8,217,76,141
9,219,138,81
10,122,40,82
11,92,32,60
12,105,38,67
13,150,36,114
14,102,75,27
15,69,40,29
16,87,79,8
17,155,93,62
18,390,331,59
19,1016,978,38
20,101,63,38
21,134,42,92
22,100,41,59
23,602,28,574
24,94,65,29
25,119,34,85
26,141,56,85
27,137,85,52
28,189,80,109
29,418,166,252
30,80,43,37
31,199,36,163
32,119,44,75
33,45,34,11
34,172,75,97
35,159,55,104
36,124,81,43
37,186,124,62
38,849,515,334
39,1609,1570,39
40,228,74,154
41,155,52,103
42,104,55,49
43,96,33,63
44,147,75,72
45,125,38,87
46,145,57,88
47,177,88,89
48,171,81,90
49,343,253,90
