id,completion_time,execution_time,waiting_time
0,80,80,0
1,60,60,0
2,66,66,0
3,40,40,0
4,105,94,11
5,51,32,19
6,466,74,392
7,502,153,349
8,446,93,353
9,581,344,237
10,305,66,239
11,215,48,167
12,281,61,220
13,409,57,352
14,113,93,20
15,95,66,29
16,96,96,0
17,446,259,187
18,666,500,166
19,2268,2194,74
20,159,84,75
21,337,67,270
22,202,67,135
23,463,46,417
24,141,85,56
25,292,52,240
26,319,78,241
27,246,116,130
28,433,96,337
29,776,363,413
30,131,69,62
31,449,58,391
32,301,71,230
33,57,57,0
34,367,92,275
35,380,72,308
36,208,115,93
37,477,278,199
38,1481,1068,413
39,4422,4335,87
40,455,85,370
41,360,72,288
42,176,74,102
43,264,51,213
44,312,86,226
45,308,64,244
46,325,78,247
47,449,198,251
48,349,97,252
49,717,449,268
