id,completion_time,execution_time,waiting_time
0,156,156,0
1,74,74,0
2,137,137,0
3,50,50,0
4,224,205,19
5,66,37,29
6,122,98,24
7,272,239,33
8,218,160,58
9,363,292,71
10,187,86,101
11,66,55,11
12,180,66,114
13,170,80,90
14,253,164,89
15,269,153,116
16,279,162,117
17,346,252,94
18,810,715,95
19,2638,2514,124
20,308,156,152
21,336,155,181
22,159,138,21
23,109,72,37
24,166,122,44
25,249,130,119
26,168,121,47
27,421,225,196
28,412,186,226
29,440,378,62
30,194,130,64
31,255,141,114
32,209,103,106
33,139,65,74
34,234,161,73
35,234,105,129
36,338,193,145
37,413,260,153
38,1420,1357,63
39,8133,8070,63
40,234,163,71
41,208,108,100
42,321,108,213
43,325,78,247
44,287,161,126
45,397,153,244
46,367,116,251
47,449,197,252
48,442,174,268
49,839,535,304
